cat,label,review,sentiment,category,summary
洗发水,1,不错！618买的！好多瓶！才用了两瓶清扬的钱太划算了！赞！,正面,价格,618 买划算用了两瓶
衣服,1,弹性很好，男朋友很喜欢。物流很快，没有什特别的味道，卖家服务态度也不错，绝对好评。以后经常来这家店买。,正面,综合,弹性好物流快服务佳
平板,1,简直就是一个大手机，漂亮，买给老婆的，很喜欢,正面,综合,手机漂亮送给老婆
平板,0,售后服务太差，欠发的东西都两个月了，居然还没有发，我不问，连一个消息都不给!!!!,负面,服务,售后太差欠发两月
平板,1,不错，最爽的是有两个音箱可以听出了左右。,正面,质量,双音箱听感清晰
洗发水,0,还没用，京东现在送货速度变好慢了，体验感骤降！！而且快递员态度非常差！！常年网购，第一次碰到态度这么差的快递员，真是醉了！！我下单的时候是说要刷卡，结果到了说pos机坏了，要我给现金，我说直接*转账吧，答应了又反悔非要现金，态度非常不耐烦，好吧给现金了，还有几毛钱零钱直接不找了，钱往兜里一揣，说没零钱。几毛钱真心不算个事，可是这年头讲的就是购物体验，不求你客客气气，好歹态度平稳点吧。这一次必须要差评！！！,负面,服务,快递员态度差体验骤降
蒙牛,1,自从知道我最喜欢的牛奶是蒙牛的 就自暴自弃了,负面,综合,自暴自弃不再喜欢牛奶
洗发水,1,快递很快，服务态度好，价格实惠，还有赠品，洗了之后清香，很好用满意，一次需要还买这个牌子。,正面,综合,物流快服务好性价比高
洗发水,1,是正品哦，而且，非常好用，送的都很精致，都香香的，买了这个，不后悔丫,正面,质量,正品好用送精致
衣服,1,买大了，175，70公斤，L码的太大了，建议买小号一点，搞活动25元西藏包邮，就不再换了，还不够运费的。,负面,质量,买大了建议换小
计算机,0,原配的windows驱动盘不错，只是安装无线网卡遇到点麻烦，先用自带光盘上GE780到NE771都没有用。后来上网查找，才知道这款机器用的无线网卡是NE-766。再到网上搜索驱动，下载测试，OK！,正面,服务,驱动安装麻烦后成功解决
平板,1,挺好用的，感觉不错，速度还不错，看看视频够了,正面,综合,好用速度快
洗发水,0,一点都不好，洗了头发干的要死,负面,质量,头发洗完很干
平板,1,反应迅速，屏幕不错！现在说说别的，给大家参考一下：屏幕细长，比起苹果握感差一点，可能苹果转过来还不习惯；第二，屏幕贴膜赠送挺好，但是你就差贴上这一步？这个太不人性化了，自己贴毕竟赶不上机器的原厂！但是还是给好评！苹果已经抛弃，死贵还不怎么样，支持华为，支持国货！国货当自强啊！顺道说一句，要买青春版的还是推荐这一款，价格虽然便宜，配置和操作性还是差一大截。,正面,综合,屏幕不错但贴膜难，支持国货
衣服,0,这是我买的最差的裤子，前后幅色差严重,负面,质量,裤子色差严重
水果,0,两箱苹果坏了十四个，一个箱子都破了，只有一箱好些。,负面,质量,两箱苹果损坏破损
书籍,1,我用了两口气，把这本书读完，牺牲了午夜以后的2小时和午睡的一个多小时。对书中职场技巧和感悟，似乎没什么印象，反而是市场部的工作让我充满了好奇。还有，让我这两天一直在思考的一个问题，也就是我都有哪些梦想，显得更加需要思考了。然后，还想，啊，自己年轻的时候怎么不知道北大有这么好，否则使出吃奶的劲也要考上。和米娅比起来，原来我的朋友，女友，这么少。,中性,综合,读书感悟少，引发对梦想思考
水果,1,苹果又脆又甜，还比超市和水果店的便宜。,正面,价格,苹果又脆又甜且便宜
水果,0,火龙果太小了！特意买的大果 ，小的可怜了！菜场7元的也比这个大,负面,质量,火龙果太小不值钱
平板,0,以后再不买华为了，伤透了心?！,负面,综合,不再购买华为产品
洗发水,1,在京东买过好几次了，很想，跟我以前在超市买的用起来一样，并且超划算，实惠，好评！,正面,综合,京东购买体验好实惠
洗发水,0,晕了，去超市看了一下结果和超市的价格一样，这也算是做活动呢？,负面,价格,超市价格一样，活动无意义
衣服,1,裤子收到了，替朋友买的，朋友说质量非常好，以后会经常光顾的！大赞！,正面,质量,朋友说质量非常好
平板,1,运行速度不错 快递小哥给力,正面,物流,运行快快递好
洗发水,0,差评，绝对差评，电话也不打，货放哪也不知道，收货人没见货就敢签收,负面,服务,电话不接签收不知情
平板,0,送的礼品了？糊弄人了？,负面,服务,礼品敷衍让人不满
水果,1,正宗的烟台红富士，口感甜脆，皮薄好吃，第二次买了，很棒！,正面,质量,烟台红富士口感甜脆
水果,1,京东购物最令人感动的就是物流小哥，风雨无阻，没日没夜，为你们点赞！,正面,物流,点赞京东物流小哥
手机,1,1.铃声优美，音量较大； 2.支持关机闹铃； 3.支持群发短信； 4.按键较大，手感不错 5.屏幕显示效果不错；； 6.支持GPRS和WAP，GPRS 上网速度较快,正面,综合,铃声优美功能齐全手感好
衣服,1,这款牛仔裤真的很好，物流也快，京东上买东西就是靠谱，这个价位买到真的很不错，很休闲，男朋友很喜欢，我也很喜欢不错不错！,正面,综合,牛仔裤质量好物流快
水果,1,苹果很新鲜，个头虽然不大，但是很好吃！老公儿子和妈妈喜欢,正面,质量,苹果新鲜好吃
衣服,0,裤子怎么看起来和旧的一样啊？没有想象中的好，还特别薄,负面,质量,裤子像旧的一样
